game_id,match,time,timestamp,odds_1,odds_x,odds_2,url
7994852,San Jose Sharks -  Buffalo Sabres,08:00,1539916200,1.70,4.90,4.75,https://checkbestodds.com/hockey-odds/nhl/san-jose-sharks-buffalo-sabres-2018-10-19/7994852
7994853,Washington Capitals -  Florida Panthers,04:30,1539990000,2.14,4.65,3.16,https://checkbestodds.com/hockey-odds/nhl/washington-capitals-florida-panthers-2018-10-20/7994853
7994854,Dallas Stars -  Minnesota Wild,05:30,1539993600,2.08,4.65,3.10,https://checkbestodds.com/hockey-odds/nhl/dallas-stars-minnesota-wild-2018-10-20/7994854
7994855,Calgary Flames -  Nashville Predators,06:30,1539997200,2.68,4.20,2.36,https://checkbestodds.com/hockey-odds/nhl/calgary-flames-nashville-predators-2018-10-20/7994855
7994856,Philadelphia Flyers -  New Jersey Devils,22:30,1540054800,2.34,4.33,2.70,https://checkbestodds.com/hockey-odds/nhl/philadelphia-flyers-new-jersey-devils-2018-10-20/7994856
7994857,Carolina Hurricanes -  Colorado Avalanche,22:30,1540054800,2.09,4.33,3.20,https://checkbestodds.com/hockey-odds/nhl/carolina-hurricanes-colorado-avalanche-2018-10-20/7994857
7994859,Los Angeles Kings -  Buffalo Sabres,01:00,1540063800,1.98,4.35,3.62,https://checkbestodds.com/hockey-odds/nhl/los-angeles-kings-buffalo-sabres-2018-10-20/7994859
7994858,Winnipeg Jets -  Arizona Coyotes,01:30,1540065600,1.84,4.70,3.85,https://checkbestodds.com/hockey-odds/nhl/winnipeg-jets-arizona-coyotes-2018-10-20/7994858
7994860,Toronto Maple Leafs -  St. Louis Blues,04:30,1540076400,1.97,4.55,3.42,https://checkbestodds.com/hockey-odds/nhl/toronto-maple-leafs-st-louis-blues-2018-10-21/7994860
7994861,Ottawa Senators -  Montreal Canadiens,04:30,1540076400,2.74,4.25,2.29,https://checkbestodds.com/hockey-odds/nhl/ottawa-senators-montreal-canadiens-2018-10-21/7994861
7994862,Florida Panthers -  Detroit Red Wings,04:30,1540076400,1.91,4.50,3.80,https://checkbestodds.com/hockey-odds/nhl/florida-panthers-detroit-red-wings-2018-10-21/7994862
7994863,Columbus Blue Jackets -  Chicago Blackhawks,04:30,1540076400,2.08,4.33,3.10,https://checkbestodds.com/hockey-odds/nhl/columbus-blue-jackets-chicago-blackhawks-2018-10-21/7994863
7994864,Minnesota Wild -  Tampa Bay Lightning,05:30,1540080000,2.98,4.33,2.20,https://checkbestodds.com/hockey-odds/nhl/minnesota-wild-tampa-bay-lightning-2018-10-21/7994864
7994865,Vancouver Canucks -  Boston Bruins,07:30,1540087200,3.26,4.33,2.03,https://checkbestodds.com/hockey-odds/nhl/vancouver-canucks-boston-bruins-2018-10-21/7994865
7994866,Vegas Golden Knights -  Anaheim Ducks,07:30,1540087200,1.98,4.45,3.44,https://checkbestodds.com/hockey-odds/nhl/vegas-golden-knights-anaheim-ducks-2018-10-21/7994866
7994867,Edmonton Oilers -  Nashville Predators,07:30,1540087200,2.80,4.30,2.24,https://checkbestodds.com/hockey-odds/nhl/edmonton-oilers-nashville-predators-2018-10-21/7994867
7994868,San Jose Sharks -  NY Islanders,08:00,1540089000,1.70,4.80,4.00,https://checkbestodds.com/hockey-odds/nhl/san-jose-sharks-ny-islanders-2018-10-21/7994868
7994869,Chicago Blackhawks -  Tampa Bay Lightning,04:30,1540162800,3.06,4.35,2.10,https://checkbestodds.com/hockey-odds/nhl/chicago-blackhawks-tampa-bay-lightning-2018-10-22/7994869
7994870,NY Rangers -  Calgary Flames,04:30,1540162800,2.83,4.25,2.27,https://checkbestodds.com/hockey-odds/nhl/ny-rangers-calgary-flames-2018-10-22/7994870
7994871,Anaheim Ducks -  Buffalo Sabres,05:30,1540166400,2.14,4.20,3.07,https://checkbestodds.com/hockey-odds/nhl/anaheim-ducks-buffalo-sabres-2018-10-22/7994871
7994872,Philadelphia Flyers -  Colorado Avalanche,04:30,1540249200,2.26,4.65,2.75,https://checkbestodds.com/hockey-odds/nhl/philadelphia-flyers-colorado-avalanche-2018-10-23/7994872
7994873,Detroit Red Wings -  Carolina Hurricanes,05:00,1540251000,3.28,4.65,2.05,https://checkbestodds.com/hockey-odds/nhl/detroit-red-wings-carolina-hurricanes-2018-10-23/7994873
7994874,Winnipeg Jets -  St. Louis Blues,05:30,1540252800,2.05,4.45,3.18,https://checkbestodds.com/hockey-odds/nhl/winnipeg-jets-st-louis-blues-2018-10-23/7994874
7994875,Vancouver Canucks -  Washington Capitals,07:30,1540260000,3.15,4.60,2.09,https://checkbestodds.com/hockey-odds/nhl/vancouver-canucks-washington-capitals-2018-10-23/7994875
7994876,NY Rangers -  Florida Panthers,04:30,1540335600,2.80,4.30,2.21,https://checkbestodds.com/hockey-odds/nhl/ny-rangers-florida-panthers-2018-10-24/7994876
7994877,Columbus Blue Jackets -  Arizona Coyotes,04:30,1540335600,1.91,4.55,3.51,https://checkbestodds.com/hockey-odds/nhl/columbus-blue-jackets-arizona-coyotes-2018-10-24/7994877
7994878,Montreal Canadiens -  Calgary Flames,05:00,1540337400,2.55,4.30,2.53,https://checkbestodds.com/hockey-odds/nhl/montreal-canadiens-calgary-flames-2018-10-24/7994878
7994879,Ottawa Senators -  Boston Bruins,05:00,1540337400,3.20,4.40,2.00,https://checkbestodds.com/hockey-odds/nhl/ottawa-senators-boston-bruins-2018-10-24/7994879
7994880,Nashville Predators -  San Jose Sharks,05:30,1540339200,2.26,4.25,2.95,https://checkbestodds.com/hockey-odds/nhl/nashville-predators-san-jose-sharks-2018-10-24/7994880
7994881,Chicago Blackhawks -  Anaheim Ducks,06:00,1540341000,2.15,4.33,2.96,https://checkbestodds.com/hockey-odds/nhl/chicago-blackhawks-anaheim-ducks-2018-10-24/7994881
7994882,Dallas Stars -  Los Angeles Kings,06:00,1540341000,2.03,4.20,3.25,https://checkbestodds.com/hockey-odds/nhl/dallas-stars-los-angeles-kings-2018-10-24/7994882
7994883,Edmonton Oilers -  Pittsburgh Penguins,06:30,1540342800,2.76,4.33,2.26,https://checkbestodds.com/hockey-odds/nhl/edmonton-oilers-pittsburgh-penguins-2018-10-24/7994883
7994884,Winnipeg Jets -  Toronto Maple Leafs,04:30,1540422000,2.33,4.33,2.70,https://checkbestodds.com/hockey-odds/nhl/winnipeg-jets-toronto-maple-leafs-2018-10-25/7994884
7994885,NY Islanders -  Florida Panthers,04:30,1540422000,2.38,4.20,2.69,https://checkbestodds.com/hockey-odds/nhl/ny-islanders-florida-panthers-2018-10-25/7994885
7994886,Colorado Avalanche -  Tampa Bay Lightning,07:00,1540431000,2.73,4.35,2.28,https://checkbestodds.com/hockey-odds/nhl/colorado-avalanche-tampa-bay-lightning-2018-10-25/7994886
7994887,Vegas Golden Knights -  Vancouver Canucks,07:30,1540432800,1.56,5.05,5.20,https://checkbestodds.com/hockey-odds/nhl/vegas-golden-knights-vancouver-canucks-2018-10-25/7994887
7994888,Boston Bruins -  Philadelphia Flyers,04:30,1540508400,2.06,4.40,3.40,https://checkbestodds.com/hockey-odds/nhl/boston-bruins-philadelphia-flyers-2018-10-26/7994888
7994889,Buffalo Sabres -  Montreal Canadiens,04:30,1540508400,2.44,4.20,2.80,https://checkbestodds.com/hockey-odds/nhl/buffalo-sabres-montreal-canadiens-2018-10-26/7994889
7994890,New Jersey Devils -  Nashville Predators,04:30,1540508400,2.70,4.20,2.34,https://checkbestodds.com/hockey-odds/nhl/new-jersey-devils-nashville-predators-2018-10-26/7994890
7994891,St. Louis Blues -  Columbus Blue Jackets,05:30,1540512000,2.19,4.33,2.90,https://checkbestodds.com/hockey-odds/nhl/st-louis-blues-columbus-blue-jackets-2018-10-26/7994891
7994892,Minnesota Wild -  Los Angeles Kings,05:30,1540512000,2.00,4.40,3.54,https://checkbestodds.com/hockey-odds/nhl/minnesota-wild-los-angeles-kings-2018-10-26/7994892
7994893,Dallas Stars -  Anaheim Ducks,06:00,1540513800,2.03,4.20,3.35,https://checkbestodds.com/hockey-odds/nhl/dallas-stars-anaheim-ducks-2018-10-26/7994893
7994894,Chicago Blackhawks -  NY Rangers,06:00,1540513800,2.04,4.35,3.18,https://checkbestodds.com/hockey-odds/nhl/chicago-blackhawks-ny-rangers-2018-10-26/7994894
7994895,Calgary Flames -  Pittsburgh Penguins,06:30,1540515600,2.39,4.45,2.53,https://checkbestodds.com/hockey-odds/nhl/calgary-flames-pittsburgh-penguins-2018-10-26/7994895
7994896,Edmonton Oilers -  Washington Capitals,06:30,1540515600,2.65,4.33,2.38,https://checkbestodds.com/hockey-odds/nhl/edmonton-oilers-washington-capitals-2018-10-26/7994896
7994897,Arizona Coyotes -  Vancouver Canucks,07:30,1540519200,1.82,4.45,4.10,https://checkbestodds.com/hockey-odds/nhl/arizona-coyotes-vancouver-canucks-2018-10-26/7994897
7994898,Vegas Golden Knights -  Tampa Bay Lightning,03:30,1540591200,2.64,4.25,2.43,https://checkbestodds.com/hockey-odds/nhl/vegas-golden-knights-tampa-bay-lightning-2018-10-27/7994898
7994899,Detroit Red Wings -  Winnipeg Jets,05:00,1540596600,3.38,4.50,2.01,https://checkbestodds.com/hockey-odds/nhl/detroit-red-wings-winnipeg-jets-2018-10-27/7994899
7994900,Carolina Hurricanes -  San Jose Sharks,05:00,1540596600,2.50,4.30,2.60,https://checkbestodds.com/hockey-odds/nhl/carolina-hurricanes-san-jose-sharks-2018-10-27/7994900
7994901,Colorado Avalanche -  Ottawa Senators,06:30,1540602000,1.79,4.50,3.98,https://checkbestodds.com/hockey-odds/nhl/colorado-avalanche-ottawa-senators-2018-10-27/7994901
7994902,New Jersey Devils -  Florida Panthers,21:30,1540656000,2.30,4.33,2.75,https://checkbestodds.com/hockey-odds/nhl/new-jersey-devils-florida-panthers-2018-10-27/7994902
7994903,Philadelphia Flyers -  NY Islanders,22:30,1540659600,2.06,4.55,3.15,https://checkbestodds.com/hockey-odds/nhl/philadelphia-flyers-ny-islanders-2018-10-27/7994903
7994904,Nashville Predators -  Edmonton Oilers,00:30,1540666800,1.80,4.40,4.25,https://checkbestodds.com/hockey-odds/nhl/nashville-predators-edmonton-oilers-2018-10-27/7994904
7994905,Calgary Flames -  Washington Capitals,01:30,1540670400,2.45,4.40,2.55,https://checkbestodds.com/hockey-odds/nhl/calgary-flames-washington-capitals-2018-10-27/7994905
7994906,Boston Bruins -  Montreal Canadiens,04:30,1540681200,1.89,4.70,3.62,https://checkbestodds.com/hockey-odds/nhl/boston-bruins-montreal-canadiens-2018-10-28/7994906
7994907,Toronto Maple Leafs -  Winnipeg Jets,04:30,1540681200,2.10,4.50,3.05,https://checkbestodds.com/hockey-odds/nhl/toronto-maple-leafs-winnipeg-jets-2018-10-28/7994907
7994908,Columbus Blue Jackets -  Buffalo Sabres,04:30,1540681200,1.87,4.50,3.65,https://checkbestodds.com/hockey-odds/nhl/columbus-blue-jackets-buffalo-sabres-2018-10-28/7994908
7994909,St. Louis Blues -  Chicago Blackhawks,06:30,1540688400,2.22,4.33,2.90,https://checkbestodds.com/hockey-odds/nhl/st-louis-blues-chicago-blackhawks-2018-10-28/7994909
7994910,Minnesota Wild -  Colorado Avalanche,06:30,1540688400,2.07,4.45,3.10,https://checkbestodds.com/hockey-odds/nhl/minnesota-wild-colorado-avalanche-2018-10-28/7994910
7994911,Arizona Coyotes -  Tampa Bay Lightning,06:30,1540688400,2.67,4.35,2.40,https://checkbestodds.com/hockey-odds/nhl/arizona-coyotes-tampa-bay-lightning-2018-10-28/7994911
7994912,Vancouver Canucks -  Pittsburgh Penguins,07:30,1540692000,3.75,4.55,1.84,https://checkbestodds.com/hockey-odds/nhl/vancouver-canucks-pittsburgh-penguins-2018-10-28/7994912
7994913,Los Angeles Kings -  NY Rangers,01:00,1540755000,1.99,4.33,3.35,https://checkbestodds.com/hockey-odds/nhl/los-angeles-kings-ny-rangers-2018-10-28/7994913
7994914,Detroit Red Wings -  Dallas Stars,02:30,1540760400,3.10,4.33,2.08,https://checkbestodds.com/hockey-odds/nhl/detroit-red-wings-dallas-stars-2018-10-28/7994914
7994915,Carolina Hurricanes -  NY Islanders,02:30,1540760400,1.79,4.70,4.00,https://checkbestodds.com/hockey-odds/nhl/carolina-hurricanes-ny-islanders-2018-10-28/7994915
7994916,Chicago Blackhawks -  Edmonton Oilers,03:30,1540764000,2.44,4.35,2.49,https://checkbestodds.com/hockey-odds/nhl/chicago-blackhawks-edmonton-oilers-2018-10-28/7994916
