id,game_id,date,home_team,away_team,home_goals,away_goals,venue,WINNER,time,odds_1,odds_x,odds_y
61,2018020016,2018-10-06,Kings,Sharks,2,3,STAPLES Center,Sharks,08:00,2.69,4.1,2.38
62,2018020060,2018-10-13,Wild,Hurricanes,4,5,Xcel Energy Center,Hurricanes,03:30,2.21,4.25,2.85
63,2018020020,2018-10-06,Devils,Oilers,5,2,Scandinavium,Devils,22:30,2.67,4.2,2.39
64,2018020020,2018-10-06,Devils,Oilers,5,2,Scandinavium,Devils,22:30,2.67,4.2,2.39
65,2018020060,2018-10-13,Wild,Hurricanes,4,5,Xcel Energy Center,Hurricanes,03:30,2.21,4.25,2.85
66,2018020062,2018-10-13,Canadiens,Penguins,4,3,Centre Bell,Canadiens,04:30,3.1,4.65,2.04
67,2018020063,2018-10-13,Lightning,Blue Jackets,8,2,Amalie Arena,Lightning,04:30,1.99,4.45,3.4
68,2018020064,2018-10-13,Panthers,Canucks,2,3,BB&T Center,Canucks,04:30,1.85,4.75,3.84
69,2018020023,2018-10-06,Stars,Jets,5,1,American Airlines Center,Stars,04:30,2.55,4.2,2.42
70,2018020065,2018-10-13,Capitals,Maple Leafs,2,4,Capital One Arena,Maple Leafs,04:30,2.38,4.65,2.53
71,2018020017,2018-10-06,Sabres,Rangers,3,1,KeyBank Center,Sabres,04:30,2.26,4.45,2.77
72,2018020018,2018-10-06,Maple Leafs,Senators,3,5,Scotiabank Arena,Senators,04:30,1.55,5.0,5.2
73,2018020019,2018-10-06,Lightning,Panthers,2,1,Amalie Arena,Lightning,04:30,1.91,5.05,3.5
74,2018020062,2018-10-13,Canadiens,Penguins,4,3,Centre Bell,Canadiens,04:30,3.1,4.65,2.04
75,2018020021,2018-10-06,Islanders,Predators,3,4,Barclays Center,Predators,04:30,3.14,4.33,2.06
76,2018020063,2018-10-13,Lightning,Blue Jackets,8,2,Amalie Arena,Lightning,04:30,1.99,4.45,3.4
77,2018020022,2018-10-06,Penguins,Canadiens,1,5,PPG Paints Arena,Canadiens,04:30,1.69,4.75,4.35
78,2018020064,2018-10-13,Panthers,Canucks,2,3,BB&T Center,Canucks,04:30,1.85,4.75,3.84
79,2018020023,2018-10-06,Stars,Jets,5,1,American Airlines Center,Stars,04:30,2.55,4.2,2.42
80,2018020065,2018-10-13,Capitals,Maple Leafs,2,4,Capital One Arena,Maple Leafs,04:30,2.38,4.65,2.53
81,2018020066,2018-10-14,Predators,Islanders,5,2,Bridgestone Arena,Predators,05:30,1.74,4.7,4.1
82,2018020067,2018-10-14,Stars,Ducks,5,3,American Airlines Center,Stars,05:30,1.99,4.45,3.36
83,2018020017,2018-10-06,Sabres,Rangers,3,1,KeyBank Center,Sabres,04:30,2.26,4.45,2.77
84,2018020018,2018-10-06,Maple Leafs,Senators,3,5,Scotiabank Arena,Senators,04:30,1.55,5.0,5.2
85,2018020066,2018-10-14,Predators,Islanders,5,2,Bridgestone Arena,Predators,05:30,1.74,4.7,4.1
86,2018020067,2018-10-14,Stars,Ducks,5,3,American Airlines Center,Stars,05:30,1.99,4.45,3.36
87,2018020019,2018-10-06,Lightning,Panthers,2,1,Amalie Arena,Lightning,04:30,1.91,5.05,3.5
88,2018020021,2018-10-06,Islanders,Predators,3,4,Barclays Center,Predators,04:30,3.14,4.33,2.06
89,2018020022,2018-10-06,Penguins,Canadiens,1,5,PPG Paints Arena,Canadiens,04:30,1.69,4.75,4.35
90,2018020068,2018-10-14,Blackhawks,Blues,4,3,United Center,Blackhawks,06:00,2.5,4.2,2.46
91,2018020024,2018-10-07,Blues,Blackhawks,4,5,Enterprise Center,Blackhawks,05:30,1.94,4.55,3.5
92,2018020025,2018-10-07,Wild,Golden Knights,1,2,Xcel Energy Center,Golden Knights,05:30,2.38,4.55,2.66
93,2018020068,2018-10-14,Blackhawks,Blues,4,3,United Center,Blackhawks,06:00,2.5,4.2,2.46
94,2018020069,2018-10-14,Coyotes,Sabres,0,3,Gila River Arena,Sabres,06:30,2.18,4.2,3.1
95,2018020069,2018-10-14,Coyotes,Sabres,0,3,Gila River Arena,Sabres,06:30,2.18,4.2,3.1
96,2018020070,2018-10-14,Avalanche,Flames,2,3,Pepsi Center,Flames,07:30,2.3,4.33,2.75
97,2018020024,2018-10-07,Blues,Blackhawks,4,5,Enterprise Center,Blackhawks,05:30,1.94,4.55,3.5
98,2018020025,2018-10-07,Wild,Golden Knights,1,2,Xcel Energy Center,Golden Knights,05:30,2.38,4.55,2.66
99,2018020027,2018-10-07,Coyotes,Ducks,0,1,Gila River Arena,Ducks,06:30,2.72,4.05,2.38
100,2018020070,2018-10-14,Avalanche,Flames,2,3,Pepsi Center,Flames,07:30,2.3,4.33,2.75
101,2018020026,2018-10-07,Avalanche,Flyers,5,2,Pepsi Center,Avalanche,06:30,2.49,4.2,2.55
102,2018020071,2018-10-14,Devils,Sharks,3,2,Prudential Center,Devils,22:30,2.6,4.2,2.46
103,2018020071,2018-10-14,Devils,Sharks,3,2,Prudential Center,Devils,22:30,2.6,4.2,2.46
104,2018020072,2018-10-14,Blues,Ducks,2,3,Enterprise Center,Ducks,04:30,2.03,4.35,3.15
105,2018020027,2018-10-07,Coyotes,Ducks,0,1,Gila River Arena,Ducks,06:30,2.72,4.05,2.38
106,2018020026,2018-10-07,Avalanche,Flyers,5,2,Pepsi Center,Avalanche,06:30,2.49,4.2,2.55
107,2018020028,2018-10-07,Flames,Canucks,7,4,Scotiabank Saddledome,Flames,07:30,1.83,4.5,3.8
108,2018020073,2018-10-14,Jets,Hurricanes,3,1,Bell MTS Place,Jets,04:30,1.94,4.5,3.4
