id,game_id,date,home_team,away_team,home_goals,away_goals,venue,WINNER,time,odds_1,odds_x,odds_y
151,2018020084,2018-10-17,Jets,Oilers,4,5,Bell MTS Place,Oilers,05:30,1.83,4.5,3.75
152,2018020083,2018-10-17,Wild,Coyotes,2,1,Xcel Energy Center,Wild,05:30,2.04,4.75,3.2
153,2018020039,2018-10-10,Predators,Flames,0,3,Bridgestone Arena,Flames,05:30,2.0,4.45,3.38
154,2018020084,2018-10-17,Jets,Oilers,4,5,Bell MTS Place,Oilers,05:30,1.83,4.5,3.75
155,2018020040,2018-10-10,Jets,Kings,2,1,Bell MTS Place,Jets,05:30,1.87,4.85,3.66
156,2018020039,2018-10-10,Predators,Flames,0,3,Bridgestone Arena,Flames,05:30,2.0,4.45,3.38
157,2018020085,2018-10-17,Golden Knights,Sabres,4,1,T-Mobile Arena,Golden Knights,07:30,1.77,4.4,4.1
158,2018020040,2018-10-10,Jets,Kings,2,1,Bell MTS Place,Jets,05:30,1.87,4.85,3.66
159,2018020085,2018-10-17,Golden Knights,Sabres,4,1,T-Mobile Arena,Golden Knights,07:30,1.77,4.4,4.1
160,2018020041,2018-10-10,Stars,Maple Leafs,4,7,American Airlines Center,Maple Leafs,06:00,2.21,4.25,2.85
161,2018020086,2018-10-17,Canadiens,Blues,3,2,Centre Bell,Canadiens,04:30,2.55,4.2,2.55
162,2018020041,2018-10-10,Stars,Maple Leafs,4,7,American Airlines Center,Maple Leafs,06:00,2.21,4.25,2.85
163,2018020087,2018-10-17,Capitals,Rangers,4,3,Capital One Arena,Capitals,04:30,1.62,4.95,4.8
164,2018020042,2018-10-10,Senators,Flyers,4,7,Canadian Tire Centre,Flyers,05:00,2.8,4.33,2.24
165,2018020086,2018-10-17,Canadiens,Blues,3,2,Centre Bell,Canadiens,04:30,2.55,4.2,2.55
166,2018020087,2018-10-17,Capitals,Rangers,4,3,Capital One Arena,Capitals,04:30,1.62,4.95,4.8
167,2018020042,2018-10-10,Senators,Flyers,4,7,Canadian Tire Centre,Flyers,05:00,2.8,4.33,2.24
168,2018020043,2018-10-11,Capitals,Golden Knights,5,2,Capital One Arena,Capitals,05:30,2.11,4.45,3.15
169,2018020088,2018-10-18,Flames,Bruins,5,2,Scotiabank Saddledome,Flames,07:00,2.51,4.2,2.55
170,2018020043,2018-10-11,Capitals,Golden Knights,5,2,Capital One Arena,Capitals,05:30,2.11,4.45,3.15
171,2018020088,2018-10-18,Flames,Bruins,5,2,Scotiabank Saddledome,Flames,07:00,2.51,4.2,2.55
172,2018020089,2018-10-18,Ducks,Islanders,4,1,Honda Center,Ducks,07:30,2.14,4.2,3.05
173,2018020044,2018-10-11,Ducks,Coyotes,2,3,Honda Center,Coyotes,07:30,2.05,4.4,3.2
